title,author,avg_rating,genre,published_year,price,currency,cover_url,link
Me Talk Pretty One Day,David Sedaris,4.113022312373225,Humor,2010-08-05,5.99,EUR,http://books.google.com/books/content?id=MPNS0j-kGwcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
The Pearl,John Steinbeck,4.113022312373225,Juvenile Fiction,2011-03-03,7.99,EUR,http://books.google.com/books/content?id=pZsTwnJddU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5308.The_Pearl
Sense and Sensibility,Jane Austen,4.113022312373225,,1833,,,http://books.google.com/books/content?id=bcUNAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
Snow Falling on Cedars,David Guterson,4.113022312373225,Foreign Language Study,2008,,,http://books.google.com/books/content?id=ogoXJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.113022312373225,Juvenile Fiction,2016-08-12,11.46,EUR,http://books.google.com/books/content?id=1U0oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/84369.The_Last_Battle
"Untamed (House of Night, #4)",P.C. Cast,4.113022312373225,Young Adult Fiction,2010-04-01,10.83,EUR,http://books.google.com/books/content?id=8XXemE3SAJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2866718-untamed
"I, Claudius (Claudius, #1)",Robert Graves,4.113022312373225,Fiction,2019-02-12,,,http://books.google.com/books/content?id=ZqsaAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18765.I_Claudius
"The Exorcist (The Exorcist, #1)",William Peter Blatty,4.113022312373225,Fiction,2007,,,http://books.google.com/books/content?id=b1JMJphpm68C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/179780.The_Exorcist
Less Than Zero,Bret Easton Ellis,4.113022312373225,Fiction,2019-03-07,11.99,EUR,http://books.google.com/books/content?id=W8ZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9915.Less_Than_Zero
"The Elite (The Selection, #2)",Kiera Cass,4.113022312373225,Young Adult Fiction,2013-04-23,8.99,EUR,http://books.google.com/books/content?id=tBSvP-Aa4GUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16248068-the-elite
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.113022312373225,Fiction,2014-03-06,9.99,EUR,http://books.google.com/books/content?id=dTUAAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17332218-words-of-radiance
