title,author,avg_rating,genre,published_year,price,currency,cover_url,link
The Velveteen Rabbit,Margery Williams Bianco,4.31,Juvenile Fiction,2011.0,,None,http://books.google.com/books/content?id=tyz8AM7Dj8EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,Young Adult Fiction,2010.0,13.64,EUR,http://books.google.com/books/content?id=Iw_gHtk4ghYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7260188-mockingjay
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,Fiction,2005.0,,None,http://books.google.com/books/content?id=px2Qtftc-eUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close
Man's Search for Meaning,Viktor E. Frankl,4.37,"Holocaust, Jewish (1939-1945)",2003.0,,None,http://books.google.com/books/content?id=H8k4JLZu6AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,Fiction,2007.0,,None,http://books.google.com/books/content?id=dOvim4cfr48C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.26,Fiction,2009.0,8.5,EUR,http://books.google.com/books/content?id=1d3XWXXxnEsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs
The Sun Also Rises,Ernest Hemingway,3.79,Fiction,2022.0,,None,http://books.google.com/books/content?id=zmJWEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises
The Green Mile,Stephen        King,4.49,Fiction,2011.0,9.99,EUR,http://books.google.com/books/content?id=b2l6DZRKW_cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11566.The_Green_Mile
"Fallen (Fallen, #1)",Lauren Kate,3.72,None,2015.0,,None,,https://www.goodreads.com/book/show/6487308-fallen
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,Young Adult Fiction,2010.0,10.11,EUR,http://books.google.com/books/content?id=LtYDKKYw3wkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6527740-last-sacrifice
