title,author,avg_rating,genre,price,currency,cover_url,link
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.11,Fiction,0.99,EUR,http://books.google.com/books/content?id=mynyTFFmc_0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15863832-angelfall
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,4.11,Biography & Autobiography,8.99,EUR,http://books.google.com/books/content?id=SdcvT6brS04C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/960.Angels_Demons
Angels Fall,Nora Roberts,4.11,Fiction,6.49,EUR,http://books.google.com/books/content?id=8s4oELPEVK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/26050.Angels_Fall
Angle of Repose,Wallace Stegner,4.11,Nan,,NAN,,https://www.goodreads.com/book/show/292408.Angle_of_Repose
Animal Farm,George Orwell,4.01,Fiction,3.99,EUR,http://books.google.com/books/content?id=46X-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/170448.Animal_Farm
Anna Karenina,Leo Tolstoy,4.1,Fiction,,NAN,http://books.google.com/books/content?id=1DooDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15823480-anna-karenina
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4.11,Young Adult Fiction,6.06,EUR,http://books.google.com/books/content?id=uIjl2YVrV6AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.11,Juvenile Fiction,4.99,EUR,http://books.google.com/books/content?id=ghGcEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/77390.Anne_of_Avonlea
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,Juvenile Fiction,,NAN,http://books.google.com/books/content?id=jfhq49WlmIgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Anthem,Ayn Rand,4.11,Fiction,,NAN,http://books.google.com/books/content?id=oEI3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/667.Anthem
"Antigone (The Theban Plays, #3)",Sophocles,4.11,Drama,7.06,EUR,http://books.google.com/books/content?id=IeBg8fWUmY4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7728.Antigone
Archer's Voice,Mia Sheridan,4.11,Fiction,7.99,EUR,http://books.google.com/books/content?id=ja5BDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/32822135-archer-s-voice
Are You My Mother?,P.D. Eastman,4.11,Juvenile Fiction,7.07,EUR,http://books.google.com/books/content?id=Et9gd7otqj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_
"Are You There God? It’s Me, Margaret",Judy Blume,3.95,Juvenile Fiction,,NAN,http://books.google.com/books/content?id=PVSYMtZcpWgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret
