title,author,avg_rating,genre,cover_url,link
Less Than Zero,Bret Easton Ellis,,Fiction,http://books.google.com/books/content?id=W8ZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9915.Less_Than_Zero
"The Elite (The Selection, #2)",Kiera Cass,,Young Adult Fiction,http://books.google.com/books/content?id=tBSvP-Aa4GUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16248068-the-elite
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,,Fiction,http://books.google.com/books/content?id=dTUAAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17332218-words-of-radiance
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,,,,https://www.goodreads.com/book/show/13104080-unravel-me
Everything is Illuminated,Jonathan Safran Foer,,Fiction,http://books.google.com/books/content?id=We4BgImVepgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/256566.Everything_is_Illuminated
A Room with a View,E.M. Forster,,,,https://www.goodreads.com/book/show/3087.A_Room_with_a_View
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,,Young Adult Fiction,http://books.google.com/books/content?id=kQ5zDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16101128-the-5th-wave
World War Z: An Oral History of the Zombie War,Max Brooks,,Fiction,http://books.google.com/books/content?id=X4Z-6_UjUK8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8908.World_War_Z
The Beach,Alex Garland,,Fiction,http://books.google.com/books/content?id=cZWZ_Scx7u8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/607639.The_Beach
The War of the Worlds,H.G. Wells,,,,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,,Fiction,http://books.google.com/books/content?id=POQxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,,Fiction,http://books.google.com/books/content?id=97FmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
"Girl, Interrupted",Susanna Kaysen,,Biography & Autobiography,http://books.google.com/books/content?id=N4mdjv3tnNQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/68783.Girl_Interrupted
Macbeth,William Shakespeare,,,http://books.google.com/books/content?id=tfBSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/8852.Macbeth
"Chosen (House of Night, #3)",P.C. Cast,,Juvenile Fiction,http://books.google.com/books/content?id=Gjvj7-ZfW_EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1326258.Chosen
Bleak House,Charles Dickens,,Fiction,http://books.google.com/books/content?id=uBpaEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/31242.Bleak_House
The Woman in White,Wilkie Collins,,Fiction,http://books.google.com/books/content?id=BW1aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5890.The_Woman_in_White
The Complete Poems of Emily Dickinson,Emily Dickinson,,Young Adult Nonfiction,http://books.google.com/books/content?id=HwFMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
"Unwind (Unwind, #1)",Neal Shusterman,,Juvenile Fiction,http://books.google.com/books/content?id=DcqpjkJSo5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/764347.Unwind
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,,Fiction,http://books.google.com/books/content?id=PAS-6ssTwD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley
انتحار فاشل,أحمد جمال الدين رمضان,,,,https://www.goodreads.com/book/show/30528535
North and South,Elizabeth Gaskell,,Fiction,http://books.google.com/books/content?id=gGaIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/156538.North_and_South
Crash,J.G. Ballard,,Fiction,http://books.google.com/books/content?id=y9lXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/70241.Crash
Brideshead Revisited,Evelyn Waugh,,Fiction,http://books.google.com/books/content?id=6o5cDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30933.Brideshead_Revisited
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,,Young Adult Fiction,http://books.google.com/books/content?id=Mam8PZhfDCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10194157-shadow-and-bone
Ugly Love,Colleen Hoover,,Fiction,http://books.google.com/books/content?id=QF1GAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17788401-ugly-love
Those Empty Eyes,Charlie Donlea,,Fiction,http://books.google.com/books/content?id=z_6pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/62984900-those-empty-eyes
The God Delusion,Richard Dawkins,,Religion,http://books.google.com/books/content?id=grccDzrTWLUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14743.The_God_Delusion
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,,Fiction,http://books.google.com/books/content?id=dMwAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/28260587-empire-of-storms
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,,Fiction,http://books.google.com/books/content?id=dG8disouIykC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,,Fiction,http://books.google.com/books/content?id=Mf5AAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/70535.2001
العصبي,أحمد جمال الدين رمضان,,,,https://www.goodreads.com/book/show/30528544
The Left Hand of Darkness,Ursula K. Le Guin,,Fiction,http://books.google.com/books/content?id=zhERCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
"The Iron King (The Iron Fey, #1)",Julie Kagawa,,Fiction,http://books.google.com/books/content?id=8aOJAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6644117-the-iron-king
Of Human Bondage,W. Somerset Maugham,,Fiction,http://books.google.com/books/content?id=7qZcCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/31548.Of_Human_Bondage
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,,Fiction,http://books.google.com/books/content?id=ar4j52mEdLoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/36336078-call-me-by-your-name
Snow Crash,Neal Stephenson,,Computer programmers,http://books.google.com/books/content?id=SXyqPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/40651883-snow-crash
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,,Comics & Graphic Novels,http://books.google.com/books/content?id=M91VEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40495957-heartstopper
"Bloodlines (Bloodlines, #1)",Richelle Mead,,Literary Criticism,http://books.google.com/books/content?id=NkVjJ7pQZboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8709527-bloodlines
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,,Fiction,http://books.google.com/books/content?id=hFT7yV3zAeUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11901.The_Witching_Hour
Vanity Fair,William Makepeace Thackeray,,,,https://www.goodreads.com/book/show/5797.Vanity_Fair
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,,Fiction,http://books.google.com/books/content?id=w7jZ-nfXRe0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Love Hypothesis,Ali Hazelwood,,Fiction,http://books.google.com/books/content?id=J4QUEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
Much Ado About Nothing,William Shakespeare,,,http://books.google.com/books/content?id=3n-zPjGMZvUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing
Far From the Madding Crowd,Thomas Hardy,,Fiction,http://books.google.com/books/content?id=FQn6uIxMaXEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd
Johnny Got His Gun,Dalton Trumbo,,Motion picture plays,,https://www.goodreads.com/book/show/51606.Johnny_Got_His_Gun
A Monster Calls,Patrick Ness,,Juvenile Fiction,http://books.google.com/books/content?id=bxH8rQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/25480342-a-monster-calls
Daisy Jones & The Six,Taylor Jenkins Reid,,Music,,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six
Verity,Colleen Hoover,,Fiction,http://books.google.com/books/content?id=ZhqMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/59344312-verity
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,,Fiction,http://books.google.com/books/content?id=TOMDq0vqXIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/77566.Hyperion
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,,Juvenile Fiction,http://books.google.com/books/content?id=7ue6Z6UMS_AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
