title,author,rating,link,cover_url,genre,price,published_year
"Cry, the Beloved Country",Alan Paton,3.93 avg rating,https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country,,,,
Are You My Mother?,P.D. Eastman,4.22 avg rating,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,,,,
"Torment (Fallen, #2)",Lauren Kate,3.84 avg rating,https://www.goodreads.com/book/show/7740152-torment,,,,
"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,4.16 avg rating,https://www.goodreads.com/book/show/75513900-powerless,,,,
The Polar Express,Chris Van Allsburg,4.32 avg rating,https://www.goodreads.com/book/show/420282.The_Polar_Express,,,,
I'll Give You the Sun,Jandy Nelson,4.15 avg rating,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun,,,,
Cutting for Stone,Abraham   Verghese,4.33 avg rating,https://www.goodreads.com/book/show/3591262-cutting-for-stone,,,,
Sarah's Key,Tatiana de Rosnay,4.18 avg rating,https://www.goodreads.com/book/show/556602.Sarah_s_Key,,,,
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.04 avg rating,https://www.goodreads.com/book/show/4268157-perfect-chemistry,,,,
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.26 avg rating,https://www.goodreads.com/book/show/1898.Into_Thin_Air,,,,
"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,4.26 avg rating,https://www.goodreads.com/book/show/55710822-better-than-the-movies,,,,
Last Exit to Brooklyn,Hubert Selby Jr.,3.93 avg rating,https://www.goodreads.com/book/show/50275.Last_Exit_to_Brooklyn,,,,
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21 avg rating,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods,,,,
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.10 avg rating,https://www.goodreads.com/book/show/15863832-angelfall,,,,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.34 avg rating,https://www.goodreads.com/book/show/23692271-sapiens,,,,
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.80 avg rating,https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty,,,,
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.23 avg rating,https://www.goodreads.com/book/show/13206760-scarlet,,,,
Normal People,Sally Rooney,3.81 avg rating,https://www.goodreads.com/book/show/41057294-normal-people,,,,
"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,4.55 avg rating,https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set,,,,
"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,4.15 avg rating,https://www.goodreads.com/book/show/10576365-the-darkest-minds,,,,
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91 avg rating,https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy,,,,
"Sabriel (Abhorsen, #1)",Garth Nix,4.16 avg rating,https://www.goodreads.com/book/show/518848.Sabriel,,,,
No Country for Old Men,Cormac McCarthy,4.17 avg rating,https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men,,,,
The Art of War,Sun Tzu,3.95 avg rating,https://www.goodreads.com/book/show/10534.The_Art_of_War,,,,
"Chocolat (Chocolat, #1)",Joanne Harris,3.96 avg rating,https://www.goodreads.com/book/show/47401.Chocolat,,,,
American Tabloid (Underworld USA #1),James Ellroy,4.19 avg rating,https://www.goodreads.com/book/show/36064.American_Tabloid,,,,
The Summoning (Darkest Powers #1),Kelley Armstrong,4.03 avg rating,https://www.goodreads.com/book/show/2800905-the-summoning,,,,
"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust,4.16 avg rating,https://www.goodreads.com/book/show/12749.Swann_s_Way,,,,
The Westing Game,Ellen Raskin,3.99 avg rating,https://www.goodreads.com/book/show/902.The_Westing_Game,,,,
The Last Lecture,Randy Pausch,4.26 avg rating,https://www.goodreads.com/book/show/40611510-the-last-lecture,,,,
"Red Rising (Red Rising Saga, #1)",Pierce Brown,4.27 avg rating,https://www.goodreads.com/book/show/15839976-red-rising,,,,
"Silence (Hush, Hush, #3)",Becca Fitzpatrick,4.07 avg rating,https://www.goodreads.com/book/show/10637766-silence,,,,
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,4.01 avg rating,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer,,,,
Just Listen,Sarah Dessen,4.05 avg rating,https://www.goodreads.com/book/show/51738.Just_Listen,,,,
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.13 avg rating,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave,,,,
A Simple Plan,Scott        Smith,3.91 avg rating,https://www.goodreads.com/book/show/21727.A_Simple_Plan,,,,
Savages (Savages #2),Don Winslow,3.87 avg rating,https://www.goodreads.com/book/show/8008928-savages,,,,
Clockers,Richard Price,4.09 avg rating,https://www.goodreads.com/book/show/45794.Clockers,,,,
Winter's Bone,Daniel Woodrell,3.86 avg rating,https://www.goodreads.com/book/show/112525.Winter_s_Bone,,,,
"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.14 avg rating,https://www.goodreads.com/book/show/179064.The_Goose_Girl,,,,
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66 avg rating,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea,,,,
Twelfth Night,William Shakespeare,3.96 avg rating,https://www.goodreads.com/book/show/1625.Twelfth_Night,,,,
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.93 avg rating,https://www.goodreads.com/book/show/7747374-i-am-number-four,,,,
Lady Chatterley’s Lover,D.H. Lawrence,3.50 avg rating,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover,,,,
Layer Cake,J.J. Connolly,4.04 avg rating,https://www.goodreads.com/book/show/29421.Layer_Cake,,,,
I Capture the Castle,Dodie Smith,3.99 avg rating,https://www.goodreads.com/book/show/31122.I_Capture_the_Castle,,,,
Nine Stories,J.D. Salinger,4.18 avg rating,https://www.goodreads.com/book/show/4009.Nine_Stories,,,,
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.11 avg rating,https://www.goodreads.com/book/show/135836.Trainspotting,,,,
Kill Your Friends,John Niven,3.80 avg rating,https://www.goodreads.com/book/show/2848807-kill-your-friends,,,,
Penance,Eliza  Clark,3.86 avg rating,https://www.goodreads.com/book/show/62898932-penance,,,,
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16 avg rating,https://www.goodreads.com/book/show/29127.The_Last_Unicorn,,,,
The Truth About Forever,Sarah Dessen,4.12 avg rating,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever,,,,
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.11 avg rating,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,,,,
Trainspotting,Irvine Welsh,4.11 avg rating,https://www.goodreads.com/book/show/23955.Trainspotting,,,,
"Ishmael (Ishmael, #1)",Daniel Quinn,4.01 avg rating,https://www.goodreads.com/book/show/40611328-ishmael,,,,
"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,4.12 avg rating,https://www.goodreads.com/book/show/140077.Dead_to_the_World,,,,
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.71 avg rating,https://www.goodreads.com/book/show/33590260-kingdom-of-ash,,,,
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.14 avg rating,https://www.goodreads.com/book/show/24861.Demian,,,,
Audition,Ryū Murakami,3.51 avg rating,https://www.goodreads.com/book/show/3392668-audition,,,,
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.29 avg rating,https://www.goodreads.com/book/show/83144.The_Bronze_Horseman,,,,
The Quiet Tenant,Clémence Michallon,3.81 avg rating,https://www.goodreads.com/book/show/61897971-the-quiet-tenant,,,,
The Hours,Michael Cunningham,3.96 avg rating,https://www.goodreads.com/book/show/11899.The_Hours,,,,
Julius Caesar,William Shakespeare,3.71 avg rating,https://www.goodreads.com/book/show/13006.Julius_Caesar,,,,
The Glass Castle,Jeannette Walls,4.33 avg rating,https://www.goodreads.com/book/show/7445.The_Glass_Castle,,,,
"You Are Special (Wemmicksville, #1)",Max Lucado,4.45 avg rating,https://www.goodreads.com/book/show/56728.You_Are_Special,,,,
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01 avg rating,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,,,,
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.36 avg rating,https://www.goodreads.com/book/show/40909452-drums-of-autumn,,,,
City of God,Paulo Lins,3.95 avg rating,https://www.goodreads.com/book/show/165662.City_of_God,,,,
The Arabian Nights,Anonymous,4.03 avg rating,https://www.goodreads.com/book/show/93101.The_Arabian_Nights,,,,
